seedingYear;seeding5YearPeriod
2010;Arbre d'avenir normal
-995;Arbre d'avenir normal
2015;Arbre à abattre dans les 5 ans
2010;Arbre à abattre dans les 10 ans
2015;Arbre d'avenir incertain
2015;Arbre d'avenir normal
2010;Arbre d'avenir incertain
2015;Arbre à abattre dans les 10 ans
2015;Arbre à abattre immédiatement
2010;Arbre à abattre dans les 5 ans
2015;
2010;Arbre à abattre immédiatement
-995;Arbre d'avenir incertain
-995;Arbre à abattre dans les 10 ans
-995;Arbre à abattre dans les 5 ans
2010;
2014;2010
2004;2000
2009;2005
2005;2005
2006;2005
2015;2015
2008;2005
2011;2010
2012;2010
2010;2010
2013;2010
2007;2005
