"id";"distance"
"1";"954.46857"
"2";"1233.4229"
"3";"781.2027"
"4";"1073.6521"
"5";"118.90862"
"6";"1502.5667"
"7";"445.8088"
"8";"994.02966"
"9";"141.74405"
"10";"181.05098"
"11";"1359.7849"
"12";"990.7232"
"13";"782.6812"
"14";"885.96405"
"15";"1172.6732"
"16";"927.15015"
"17";"919.2681"
"18";"467.40082"
"19";"1328.2233"
"20";"942.7061"
"21";"153.20515"
"22";"1707.2441"
"23";"750.19104"
"24";"895.59564"
"25";"1093.7844"
"26";"1183.373"
"27";"1190.9552"
"28";"85.598236"
"29";"824.5907"
"30";"298.06097"
"31";"760.4666"
"32";"817.80457"
"33";"1138.3931"
"34";"1562.442"
"35";"537.5835"
"36";"52.512333"
"37";"1115.3536"
"38";"1724.9613"
"39";"420.28204"
"40";"1174.2129"
"41";"1029.0604"
"42";"678.3068"
"43";"1629.299"
"44";"1176.0648"
"45";"841.83685"
"46";"172.36356"
"47";"1008.14465"
"48";"766.0453"
"49";"1730.8336"
