"measure_date";"station_name";"unity";"pollution_name";"measure_value"
"2004-01-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"-1"
"2004-02-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"46"
"2004-03-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"37"
"2004-04-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"26"
"2004-05-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"20"
"2004-06-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"-1"
"2004-07-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"19"
"2004-08-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"16"
"2004-09-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"23"
"2004-10-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"29"
"2004-11-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"34"
"2004-12-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"42"
"2005-01-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"46"
"2005-02-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"41"
"2005-03-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"34"
"2005-04-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"26"
"2005-05-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"20"
"2005-06-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"18"
"2005-07-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"16"
"2005-08-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"16"
"2005-09-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"22"
"2005-10-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"28"
"2005-11-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"35"
"2005-12-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"40"
"2006-01-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"50"
"2006-02-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"42"
"2006-03-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"33"
"2006-04-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"21"
"2006-05-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"17"
"2006-06-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"16"
"2006-07-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"16"
"2006-08-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"11"
"2006-09-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"20"
"2006-10-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"26"
"2006-11-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"32"
"2006-12-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"40"
"2007-01-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"39"
"2007-02-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"44"
"2007-03-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"27"
"2007-04-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"25"
"2007-05-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"18"
"2007-06-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"16"
"2007-07-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"13"
"2007-08-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"13"
"2007-09-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"19"
"2007-10-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"27"
"2007-11-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"32"
"2007-12-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"40"
"2008-01-01";"Fontaine les Balmes";"microg/m3";"Dioxyde d'azote";"48"
